"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.01259892391419","4.13079661839726","4.79098828956432","11.2591812170153","5.14004404663994","7.32268827718477","4.96898579074605","4.04238853747366","6.6179822555614","8.51650397490065","4.95360767044503","6.7561753872818","4.81582411214426","6.96784003709197",
"Africa Eastern and Southern","AFE","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.95994779644583","","6.30140116320566","6.46274238970416","5.91471903672507","6.8280312533642","6.97804959473329","6.28930982710492","5.32497068732164","6.49736992109116",
"Afghanistan","AFG","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","",
"Africa Western and Central","AFW","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.91164906357206","5.06269779135956","3.8086397813745","4.72558424317753","5.6024647193431","5.47019793797767","","","",
"Angola","AGO","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.6044860178165","12.9847261607326","19.3823445175327","23.3127313632868","27.4922504665098","23.3938244990167","16.1267528113752","22.0635039995781",
"Albania","ALB","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.32819340038297","1.4645172043822","1.01687291597312","0.922637018907313","0.890238022251303","0.257234804303144","1.63419036731371","0.784313365143227","0.0884563671350961","0.0447019828200661","0.128427412960995","0.285854495639881","0.419509988977299","0.0596409977568037",
"Andorra","AND","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.5554769360437","16.0881531080808","12.0967796797592","23.4558060507799","18.4901751294443","20.6476573542829","23.5947866942069","20.6864843259943","22.6448432767297","24.4301003109077","23.2513189546623","28.4603950348388","32.5215924551046","23.0406088299837","24.3806762508654","11.6593862348033",
"Arab World","ARB","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.85256456554278","","","","1.88686511909696","1.88588911140153","3.87287408595101","2.83924817800009","1.86805291542752","1.81082676107115","2.07434542389408","2.00010865887806","4.45960724880485","1.84236525373711","",
"United Arab Emirates","ARE","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.30548953330388","","","","3.76666015364593","3.60699012680695","10.1657890521901","5.30115832954026","2.61791476823188","2.86008044964976","2.90317796209774","2.99825065634577","5.37646598558349","8.95795070805224","9.28560107183941",
"Argentina","ARG","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.9617132411012","9.32791355217619","9.02967995248663","7.68410566375014","7.32119032482309","6.63636508254823","7.45807793886144","7.06113037765277","9.22569178201485","8.98239130251102","9.2054192542743","5.40298410981277","5.21279058881723","6.90388925607922","4.42289139264312","4.7515752362265",
"Armenia","ARM","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.13989598746533","1.57333128290795","2.84280207545875","2.3244279905282","3.37333605951397","2.85090135940224","3.02784829241324","3.02163379158599","5.65181437686726","6.13769143045383","7.55086158230387","7.05559836933075","9.7911008905333","7.14063667161287","5.95672009542882","21.407760574311",
"American Samoa","ASM","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0.0260556980755776","0.375050371986813","0.613426844678628","0","3.66800908695688","0","0",
"Australia","AUS","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.5306590560344","15.3440414424168","16.6642779916193","16.506959953697","17.9435493790703","17.2803118305857","18.0024569081412","18.9827747031452","19.6853148062394","20.6098142642049","18.0893930210522","18.1322965458901","21.2139540744953","21.4707052030157","22.3902304215337","25.6077480937055",
